,<C local>,<K>,<Min Dist>,C global,Densidad,Enlaces,Nodos,Red
0,0.18363872699388417,5.176470588235294,4.67756804214223,0.1894273127753304,0.038630377524143986,176,68,melodia (1)
1,0.19166342310161738,5.264705882352941,4.633230904302019,0.19672131147540983,0.03928884986830553,179,68,grados (1)
2,0.473727240197777,8.142857142857142,2.10989010989011,0.41089108910891087,0.3131868131868132,57,14,ritmo (1)
3,0.2204481699569339,7.807909604519774,3.5669298921417565,0.1544975536319157,0.02218156137647663,691,177,melodia (5)
4,0.2568607725689522,7.633333333333334,3.5529484792054626,0.13410237923576063,0.02132216014897579,687,180,grados (5)
5,0.6090067744001484,11.68421052631579,2.046783625730994,0.5932944606413995,0.32456140350877194,111,19,ritmo (5)
6,0.23361863475256744,10.308641975308642,3.71954668807094,0.15823367065317387,0.015957650116576846,1670,324,melodia (10)
7,0.2565011289469444,10.610932475884244,3.653376205787781,0.16565786862472712,0.017114407219168137,1650,311,grados (10)
8,0.6657506841050677,14.909090909090908,1.844155844155844,0.5813953488372093,0.354978354978355,164,22,ritmo (10)
9,0.25369978301636525,13.6008316008316,3.5503811503811504,0.17523033866859533,0.014167532917532918,3271,481,melodia (20)
10,0.2627915234464454,14.03125,3.576467122083733,0.2013030516196027,0.015694910514541388,3143,448,grados (20)
11,0.6365734743797005,17.214285714285715,1.8756613756613756,0.5366056572379367,0.3187830687830688,241,28,ritmo (20)
